City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed,absLat
hualmay,37,PE,1570681327,87,-11.1,-77.61,56.08,1.93,11.1
antofagasta,90,CL,1570681427,72,-23.65,-70.4,59.0,8.05,23.65
petropavlovsk-kamchatskiy,98,RU,1570681749,57,53.05,158.65,51.8,13.42,53.05
qasigiannguit,8,GL,1570681750,50,68.82,-51.19,28.4,12.75,68.82
cacule,77,BR,1570681750,77,-14.5,-42.22,70.2,10.17,14.5
dasuya,0,IN,1570681750,58,31.81,75.66,75.52,2.19,31.81
lancaster,90,US,1570681750,62,40.04,-76.31,55.99,9.17,40.04
topeka,90,US,1570681751,77,39.05,-95.68,63.0,9.17,39.05
rucheng,2,CN,1570681751,57,25.55,113.68,81.21,4.78,25.55
anchorage,90,US,1570681751,70,61.22,-149.89,48.2,14.99,61.22
ponazyrevo,100,RU,1570681751,98,58.36,46.31,36.55,4.86,58.36
tocopilla,0,CL,1570681752,35,-22.09,-70.2,53.33,1.65,22.09
usinsk,99,RU,1570681752,97,66.0,57.56,28.99,3.06,66.0
dustlik,33,UZ,1570681752,30,40.53,68.03,63.36,0.78,40.53
nakhon phanom,20,LA,1570681752,58,17.4,104.79,87.8,8.05,17.4
kommunisticheskiy,100,RU,1570681752,90,61.68,64.48,41.99,8.56,61.68
jayanca,90,PE,1570681753,29,-6.39,-79.82,66.2,11.41,6.39
khash,0,IR,1570681753,20,28.22,61.21,70.11,3.18,28.22
vanavara,85,RU,1570681453,60,60.35,102.28,22.37,7.02,60.35
kinlochleven,100,GB,1570681753,93,56.71,-4.97,51.01,9.55,56.71
sola,46,TZ,1570681754,70,-3.17,33.8,68.49,6.4,3.17
lakatoro,100,VU,1570681754,88,-16.11,167.42,80.6,9.17,16.11
gasa,9,BT,1570681754,64,27.91,89.73,33.6,4.5,27.91
puerto ayacucho,40,CO,1570681755,94,5.66,-67.63,77.0,0.98,5.66
bathsheba,20,BB,1570681379,69,13.22,-59.52,82.4,14.99,13.22
channel-port aux basques,34,CA,1570681755,66,47.57,-59.14,46.33,1.47,47.57
udachnyy,90,RU,1570681312,73,66.42,112.4,19.4,15.66,66.42
bulawayo,94,ZW,1570681755,52,-20.16,28.59,69.8,6.93,20.16
yaring,20,TH,1570681756,70,6.87,101.37,86.0,2.24,6.87
muroto,20,JP,1570681756,54,33.37,134.14,82.4,6.93,33.37
aitape,100,PG,1570681756,67,-3.15,142.36,82.62,3.22,3.15
paka,100,CF,1570681756,99,4.15,15.03,66.88,0.69,4.15
hirara,40,JP,1570681360,61,24.8,125.28,82.4,16.11,24.8
samoded,94,RU,1570681757,92,63.61,40.52,30.76,8.22,63.61
pareora,98,NZ,1570681757,94,-44.49,171.21,53.01,10.0,44.49
flinders,40,AU,1570681757,45,-34.58,150.85,68.0,11.41,34.58
kalianget,20,ID,1570681757,34,-7.35,109.91,93.2,9.17,7.35
hovd,60,NO,1570681758,93,63.83,10.7,43.0,10.29,63.83
kuopio,20,FI,1570681758,92,62.89,27.68,32.0,4.7,62.89
heihe,20,RU,1570681758,29,50.24,127.51,48.2,11.18,50.24
samana,20,EC,1570681758,98,0.12,-76.97,70.09,2.33,0.12
kudahuvadhoo,100,MV,1570681759,69,2.67,72.89,82.96,7.85,2.67
buin,100,CL,1570681759,36,-33.73,-70.74,62.6,5.82,33.73
bilibino,0,RU,1570681388,88,68.06,166.44,13.03,2.41,68.06
goderich,0,CA,1570681323,80,43.74,-81.71,48.99,13.64,43.74
ola,100,RU,1570681375,88,59.58,151.3,35.85,27.29,59.58
yevlax,90,AZ,1570681759,77,40.61,47.15,62.6,5.82,40.61
priladozhskiy,90,RU,1570681760,93,59.85,31.48,41.0,4.47,59.85
soverato,20,IT,1570681760,73,38.69,16.55,69.8,9.17,38.69
arauco,99,CL,1570681760,93,-37.25,-73.32,55.4,8.05,37.25
ankang,100,CN,1570681761,96,32.73,108.99,54.23,0.81,32.73
tamiahua,100,MX,1570681761,77,21.28,-97.45,81.46,7.54,21.28
brae,100,GB,1570681761,93,60.4,-1.35,51.8,14.99,60.4
ouesso,100,CG,1570681335,97,1.61,16.05,68.23,3.12,1.61
veresti,32,RO,1570681761,54,47.6,26.43,54.0,5.82,47.6
te anau,100,NZ,1570681435,94,-45.41,167.72,44.55,10.11,45.41
namibe,85,AO,1570681329,86,-15.19,12.15,67.57,1.44,15.19
nioki,94,CD,1570681762,99,-2.72,17.69,69.42,2.72,2.72
nurlat,100,RU,1570681762,89,54.43,50.8,39.36,9.86,54.43
cabedelo,75,BR,1570681763,73,-6.97,-34.84,77.0,6.93,6.97
marabba,4,SD,1570681763,66,12.35,32.18,79.77,5.13,12.35
makakilo city,1,US,1570681368,78,21.35,-158.09,84.2,3.36,21.35
kamariotissa,40,GR,1570681763,87,40.48,25.47,59.0,5.7,40.48
salekhard,100,RU,1570681763,97,66.54,66.62,40.1,13.39,66.54
genhe,53,CN,1570681375,36,50.78,121.52,31.59,11.01,50.78
valentin gomez farias,19,MX,1570681764,69,24.05,-104.7,66.99,11.99,24.05
tsiroanomandidy,4,MG,1570681764,64,-18.77,46.05,68.29,4.76,18.77
longyearbyen,0,NO,1570681332,90,78.22,15.63,19.09,2.72,78.22
sao luis de montes belos,66,BR,1570681765,85,-16.52,-50.37,70.5,1.88,16.52
terney,0,RU,1570681765,48,45.05,136.61,62.08,7.04,45.05
wencheng,14,CN,1570681765,61,27.79,120.09,82.27,0.6,27.79
sept-iles,5,CA,1570681765,92,50.2,-66.38,35.01,3.36,50.2
langenburg,100,CA,1570681766,73,50.84,-101.7,30.42,9.11,50.84
winslow,0,GB,1570681766,87,51.94,-0.88,48.2,13.87,51.94
dingle,85,PH,1570681433,74,11.0,122.67,83.91,5.85,11.0
blagoyevo,100,RU,1570681766,91,63.37,47.92,31.24,7.75,63.37
margate,75,AU,1570681363,76,-43.03,147.26,57.0,17.22,43.03
tambovka,33,RU,1570681767,59,47.32,47.38,40.64,2.31,47.32
honningsvag,40,NO,1570681767,75,70.98,25.97,41.0,14.99,70.98
maidstone,90,CA,1570681767,79,53.09,-109.3,24.8,8.05,53.09
severobaykalsk,77,RU,1570681768,46,55.65,109.32,27.48,17.79,55.65
payyannur,75,IN,1570681768,88,12.1,75.2,82.4,2.24,12.1
vuktyl,100,RU,1570681768,90,63.86,57.31,31.12,3.69,63.86
placido de castro,13,BR,1570681769,62,-10.34,-67.19,77.85,1.64,10.34
gerash,20,IR,1570681769,54,27.67,54.14,78.8,1.53,27.67
sabha,0,LY,1570681769,41,27.03,14.43,69.19,6.15,27.03
qinhuangdao,100,CN,1570681769,62,39.94,119.59,64.09,10.9,39.94
saint anthony,90,US,1570681385,49,43.97,-111.68,26.6,6.93,43.97
bourail,100,NC,1570681770,53,-21.57,165.5,76.62,1.95,21.57
plast,100,RU,1570681770,86,54.37,60.81,42.57,10.38,54.37
coahuayana,100,MX,1570681770,90,18.62,-100.35,73.18,1.74,18.62
alta floresta,100,BR,1570681770,95,-9.87,-56.08,70.59,3.29,9.87
uglegorsk,32,RU,1570681771,63,49.08,142.06,57.33,16.75,49.08
ixtapa,90,MX,1570681771,88,20.71,-105.21,80.01,1.51,20.71
sur,0,OM,1570681771,47,22.57,59.53,82.67,5.74,22.57
magan,0,OM,1570681771,48,24.42,56.58,87.8,3.36,24.42
neuquen,99,AR,1570681772,51,-38.95,-68.06,59.0,2.24,38.95
la sarre,0,CA,1570681772,79,48.8,-79.2,44.56,6.4,48.8
camocim,0,BR,1570681772,85,-2.9,-40.84,71.42,5.73,2.9
neryungri,100,RU,1570681772,82,56.66,124.71,15.06,12.13,56.66
netrakona,82,BD,1570681773,80,24.88,90.72,78.04,3.6,24.88
alofi,61,NU,1570681433,78,-19.06,-169.92,78.8,10.29,19.06
kiama,40,AU,1570681773,45,-34.67,150.86,68.0,11.41,34.67
eureka,1,US,1570681773,75,40.8,-124.16,48.2,4.7,40.8
arlit,100,NE,1570681458,40,18.74,7.39,84.58,10.85,18.74
tinaquillo,100,VE,1570681774,99,9.92,-68.31,67.15,3.01,9.92
newcastle,40,AU,1570681774,63,-32.93,151.78,66.0,18.34,32.93
adrar,0,DZ,1570681774,36,27.87,-0.29,64.4,9.17,27.87
kokoda,97,PG,1570681774,89,-8.88,147.74,69.44,3.79,8.88
poronaysk,19,RU,1570681774,59,49.22,143.1,58.17,11.82,49.22
isetskoye,100,RU,1570681775,92,56.49,65.32,45.01,8.41,56.49
abonnema,75,NG,1570681775,100,4.71,6.79,73.4,2.53,4.71
verkhoyansk,100,RU,1570681352,66,67.55,133.39,12.24,7.57,67.55
bangui,100,CF,1570681775,100,4.39,18.55,71.6,2.24,4.39
yumen,0,CN,1570681304,34,40.29,97.04,60.73,1.21,40.29
nelson,56,CA,1570681776,77,49.49,-117.29,22.39,2.34,49.49
ossora,100,RU,1570681372,84,59.24,163.07,43.43,33.61,59.24
tashtagol,0,RU,1570681776,72,52.76,87.85,41.61,3.72,52.76
jieshi,5,CN,1570681776,61,22.82,115.83,86.0,5.21,22.82
wanaka,98,NZ,1570681776,79,-44.7,169.14,57.0,1.01,44.7
kattivakkam,40,IN,1570681777,70,13.22,80.32,87.8,5.82,13.22
loandjili,75,CG,1570681777,94,-4.77,11.87,77.0,3.36,4.77
amahai,100,ID,1570681777,77,-3.31,129.0,79.77,5.22,3.31
mount isa,93,AU,1570681388,5,-20.73,139.49,87.8,14.99,20.73
puerto colombia,75,CO,1570681778,94,10.99,-74.96,78.8,9.17,10.99
auray,90,FR,1570681778,93,47.67,-2.99,59.0,4.7,47.67
atar,85,MR,1570681778,22,20.52,-13.05,81.97,9.65,20.52
kiunga,100,PG,1570681778,83,-6.12,141.3,80.01,1.89,6.12
munster,1,US,1570681778,67,41.56,-87.51,63.0,5.82,41.56
moa,100,CU,1570681779,97,20.66,-74.95,70.52,3.56,20.66
samarai,89,PG,1570681328,87,-10.62,150.67,76.93,8.45,10.62
werda,0,BW,1570681779,33,-25.27,23.28,58.12,10.87,25.27
mayna,96,RU,1570681779,72,53.0,91.49,38.62,2.8,53.0
mattru,100,SL,1570681780,97,7.62,-11.83,72.39,2.44,7.62
okhotsk,100,RU,1570681403,99,59.36,143.24,36.25,4.11,59.36
ulladulla,40,AU,1570681337,45,-35.36,150.48,64.4,11.41,35.36
pandan,44,PH,1570681780,75,11.72,122.09,82.9,9.68,11.72
diamantino,91,BR,1570681387,62,-14.4,-56.44,76.48,5.7,14.4
prince rupert,90,CA,1570681780,87,54.32,-130.32,42.8,3.54,54.32
roquetas de mar,90,ES,1570681781,68,36.76,-2.61,70.0,5.82,36.76
florianopolis,1,BR,1570681781,88,-27.6,-48.55,69.01,8.05,27.6
tazovskiy,100,RU,1570681781,79,67.47,78.7,32.5,23.72,67.47
shitanjing,100,CN,1570681781,30,39.23,106.34,62.89,3.44,39.23
vostok,0,RU,1570681782,45,46.45,135.83,60.06,12.82,46.45
chumikan,100,RU,1570681782,97,54.72,135.31,37.72,2.33,54.72
olivenza,0,ES,1570681782,46,38.68,-7.1,62.01,1.99,38.68
deputatskiy,100,RU,1570681782,92,69.3,139.9,9.36,2.19,69.3
yinchuan,86,CN,1570681437,29,38.48,106.21,60.93,1.51,38.48
hay river,75,CA,1570681395,79,60.82,-115.79,28.4,2.24,60.82
along,28,IN,1570681783,94,28.17,94.8,71.15,2.93,28.17
skowhegan,1,US,1570681783,87,44.77,-69.72,48.0,8.05,44.77
okhansk,75,RU,1570681783,86,57.72,55.39,37.4,8.95,57.72
nyurba,100,RU,1570681784,76,63.29,118.35,21.72,10.74,63.29
shakiso,99,ET,1570681784,98,5.77,38.9,55.18,1.42,5.77
hammerfest,40,NO,1570681784,93,70.66,23.68,35.6,13.87,70.66
warmbad,80,DE,1570681784,81,50.67,13.08,52.0,10.29,50.67
tomatlan,100,MX,1570681387,98,19.93,-105.25,74.41,0.54,19.93
nishihara,75,JP,1570681785,50,35.74,139.53,81.0,4.7,35.74
maniitsoq,34,GL,1570681386,46,65.42,-52.9,35.19,4.88,65.42
mlonggo,20,ID,1570681785,34,-6.53,110.7,93.2,9.17,6.53
porto walter,31,BR,1570681786,93,-8.27,-72.74,71.55,1.76,8.27
hollola,63,FI,1570681786,99,60.99,25.5,37.99,1.01,60.99
manggar,67,ID,1570681786,80,-2.88,108.27,81.16,11.39,2.88
zhigansk,100,RU,1570681369,77,66.77,123.37,20.79,20.25,66.77
zaozerne,100,UA,1570681786,94,51.37,23.94,48.51,13.07,51.37
digby,100,CA,1570681787,90,44.62,-65.76,48.0,1.99,44.62
